Date,Total Lifting Weeks,Week,Cycle Week,Exercise,Focus,Type,Pause,Sets,Reps,Intensity,Weight,RPE,All_Reps,uploaded_video,video_name,vid_url
,34,13,2,2ct Pause Bench,Bench,Pause,y,1+2R,5,8RPE,,,,,,
,34,13,2,Front Squat,Squat,Front,n,1+1F,3,9RPE,,,,,,
,34,13,3,Pin Squat,Squat,Pin,n,1,2,8RPE,,,,,,
,34,13,3,Pin Squat,Squat,Pin,n,1+1F,5,9RPE,,,,,,
,34,13,3,Close Grip Bench,Bench,Close Grip,n,1+1F,2,9RPE,,,,,,
,34,13,3,Feet Up Bench,Bench,Feet Up,n,1+1F,6,9RPE,,,,,,
,34,13,4,2ct Pause Deadlift,Deadlift,Pause,y,1,2,8RPE,,,,,,
,34,13,4,2ct Pause Deadlift,Deadlift,Pause,y,1+2R,4,8RPE,,,,,,
,34,13,4,Touch and Go Bench,Bench,Touch and Go,n,1+3R,4,8RPE,,,,,,
,35,14,1,Competition Squat,Squat,Competition,n,1,1,8RPE,,,,,,
,35,14,1,Competition Squat,Squat,Competition,n,4,4,72%,,,,,,
,35,14,1,Competition Pause Bench,Bench,Competition,n,1,1,9RPE,,,,,,
,35,14,1,Competition Pause Bench,Bench,Competition,n,5,4,72%,,,,,,
,35,14,1,Overhead Press,Accessory,,,1+2R,6,8RPE,,,,,,
,35,14,2,Competition Deadlift,Deadlift,Competition,n,1,1,8RPE,,,,,,
,35,14,2,Competition Deadlift,Deadlift,Competition,n,4,4,72%,,,,,,
,35,14,2,2ct Pause Bench,Bench,Pause,y,1+2F,2,9RPE,,,,,,
,35,14,2,Front Squat,Squat,Front,n,1+2F,4,9RPE,,,,,,
,35,14,3,Pin Squat,Squat,Pin,n,1,1,8RPE,,,,,,
,35,14,3,Pin Squat,Squat,Pin,n,1+1F,2,9RPE,,,,,,
,35,14,3,Close Grip Bench,Bench,Close Grip,n,1+2R,3,8RPE,,,,,,
,35,14,3,Feet Up Bench,Bench,Feet Up,n,1+1F,3,9RPE,,,,,,
,35,14,4,2ct Pause Deadlift,Deadlift,Pause,y,1,1,8RPE,,,,,,
,35,14,4,2ct Pause Deadlift,Deadlift,Pause,y,1+2F,2,9RPE,,,,,,
,35,14,4,Touch and Go Bench,Bench,Touch and Go,n,1+1F,3,9RPE,,,,,,
,36,15,1,Competition Squat,Squat,Competition,n,1,1,8RPE,,,,,,
,36,15,1,Competition Squat,Squat,Competition,n,3,3,76%,,,,,,
,36,15,1,Competition Pause Bench,Bench,Competition,n,1,1,9RPE,,,,,,
,36,15,1,Competition Pause Bench,Bench,Competition,n,4,3,76%,,,,,,
,36,15,1,Overhead Press,Accessory,,,1+1F,5,9RPE,,,,,,
,36,15,2,Competition Deadlift,Deadlift,Competition,n,1,1,8RPE,,,,,,
,36,15,2,Competition Deadlift,Deadlift,Competition,n,3,3,76%,,,,,,
,36,15,2,2ct Pause Bench,Bench,Pause,y,1+2R,4,8RPE,,,,,,
,36,15,2,Front Squat,Squat,Front,n,1+1R,2,8RPE,,,,,,
,36,15,3,Pin Squat,Squat,Pin,n,1,1,8RPE,,,,,,
,36,15,3,Pin Squat,Squat,Pin,n,1+2F,4,8RPE,,,,,,
,36,15,3,Close Grip Bench,Bench,Close Grip,n,1+1F,4,9RPE,,,,,,
,36,15,3,Feet Up Bench,Bench,Feet Up,n,1+1F,4,9RPE,,,,,,
,36,15,4,2ct Pause Deadlift,Deadlift,Pause,y,1,1,8RPE,,,,,,
,36,15,4,2ct Pause Deadlift,Deadlift,Pause,y,1+2F,4,9RPE,,,,,,
,36,15,4,Touch and Go Bench,Bench,Touch and Go,n,1+2F,3,9RPE,,,,,,
,37,16,1,Competition Squat,Squat,Competition,n,1,1,Opener,,,,,,
,37,16,1,Competition Squat,Squat,Competition,n,3,2,82%,310,,,,,
,37,16,1,Competition Pause Bench,Bench,Competition,n,1,1,Opener,,,,,,
,37,16,1,Competition Pause Bench,Bench,Competition,n,3,2,84%,240,,,,,
,37,16,2,Competition Deadlift,Deadlift,Competition,n,1,1,Opener,,,,,,
,37,16,2,Competition Deadlift,Deadlift,Competition,n,2,2,82%,180,,,,,
,37,16,2,Competition Pause Bench,Bench,Competition,n,4,1,85%,240,,,,,
,37,16,3,Competition Squat,Squat,Competition,n,1,1,85%,320,,,,,
,37,16,3,Competition Squat,Squat,Competition,n,2,2,78%,295,,,,,
,37,16,3,Competition Pause Bench,Bench,Competition,n,1,1,85%,240,,,,,
,37,16,3,Competition Pause Bench,Bench,Competition,n,3,2,78%,220,,,,,
,37,16,3,Competition Deadlift,Deadlift,Competition,n,1,1,82%,180,,,,,
,37,16,3,Competition Deadlift,Deadlift,Competition,n,2,2,75%,165,,,,,
,37,16,4,Competition Squat,Squat,Competition,n,2,3,75%,280,,,,,
,37,16,4,Competition Pause Bench,Bench,Competition,n,3,3,78%,220,,,,,
,37,16,4,Competition Deadlift,Deadlift,Competition,n,1,3,75%,165,,,,,
,37,16,6,Competition Squat,Squat,Competition,n,1,1,first,,,,,,
,37,16,6,Competition Squat,Squat,Competition,n,1,1,second,,,,,,
,37,16,6,Competition Squat,Squat,Competition,n,1,1,third,,,,,,
,37,16,6,Competition Pause Bench,Bench,Competition,n,1,1,first,,,,,,
,37,16,6,Competition Pause Bench,Bench,Competition,n,1,1,second,,,,,,
,37,16,6,Competition Pause Bench,Bench,Competition,n,1,1,third,,,,,,
,37,16,6,Competition Deadlift,Deadlift,Competition,n,1,1,first,,,,,,
,37,16,6,Competition Deadlift,Deadlift,Competition,n,1,1,second,,,,,,
,37,16,6,Competition Deadlift,Deadlift,Competition,n,1,1,third,,,,,,
